angle,speed_l,speed_r,v_pwm,w_pwm
0.000000,55.125690,355163.000000,0.004956,0.261179
0.000000,55.125401,355164.000000,0.004899,-0.059256
0.000000,55.125980,355165.000000,0.005011,0.116220
0.000000,55.124691,355166.000000,0.004751,-0.272879
0.000000,55.124439,355167.000000,0.004912,-0.051626
0.000000,55.125080,355168.000000,0.004941,0.131479
0.000000,55.125420,355169.000000,0.004834,0.070444
0.000000,55.125778,355170.000000,0.005104,0.070444
0.000000,55.126049,355171.000000,0.004907,0.055185
0.000000,55.126560,355172.000000,0.005073,0.100961
0.000000,55.126282,355173.000000,0.004832,-0.059256
0.000000,55.125980,355174.000000,0.005007,-0.059256
0.000000,55.126369,355175.000000,0.005015,0.078073
0.000000,55.126610,355176.000000,0.004899,0.047556
0.000000,55.126690,355177.000000,0.005119,0.017038
0.000000,55.126621,355178.000000,0.005391,-0.013479
0.000000,55.127010,355179.000000,0.004987,0.078073
0.000000,55.127209,355180.000000,0.005004,0.039926
